CentreCode,CityCode,CentreName
1001,101,St. Xaviers College Mapusa Goa
1002,102,iON Digital Zone iDZ Pato Plaza
1003,103,iON Digital Zone iDZ 1 Odhav
1004,103,iON Digital Zone iDZ 2 Odhav
1005,103,iON Digital Zone iDZ Bopal (Centre A)
1006,103,iON Digital Zone iDZ Bopal (Centre B)
1007,104,Government Engineering College
1008,105,Arham Veerayatan Institute of Engineering Technology & Research
1009,106,iON Digital Zone iDZ Randesan
1010,106,iON Digital Zone iDZ Sector 26
1011,107,iON Digital Zone iDZ 2 Metoda
1012,107,iON Digital Zone iDZ 3 Metoda
1013,107,iON Digital Zone iDZ 1 Metoda
1014,108,Uka Tarsadia University (Center A)
1015,108,Uka Tarsadia University (Center B)
1016,108,iON Digital Zone iDZ Unn (Center A)
1017,108,iON Digital Zone iDZ Unn (Center B)
1018,109,iON Digital Zone iDZ 2 Gotri
1019,109,Stackwise Technology (Center A)
1020,109,Stackwise Technology (Center B)
1021,109,iON Digital Zone iDZ 1 Gotri
1022,110,iON Digital Zone iDZ Bannerghatta Main Road
1023,110,iON Digital Zone iDZ Ullal Main Road
1024,110,iON Digital Zone iDZ Rajarajeswari Medical College and Hospital
1025,110,iON Digital Zone iDZ Kumbalgodu
1026,110,iON Digital Zone iDZ K R Puram
1027,110,iON Digital Zone iDZ Thigalarapalya Main Road (Center A)
1028,110,iON Digital Zone iDZ Thigalarapalya Main Road (Center B)
1029,110,GITAM School of Technology
1030,110,R V College of Engineering
1031,110,AMC Engineering College
1032,110,Don Bosco Institute of Technology
1033,110,Cambridge Institute Of Technology
1034,111,iON Digital Zone iDZ Akshay Colony (Center A)
1035,111,iON Digital Zone iDZ Akshay Colony (Center B)
1036,112,iON Digital Zone iDZ Rajapur Shahabad Road
1037,113,iON Digital Zone Bondel (Center A)
1038,113,iON Digital Zone Bondel (Center B)
1039,114,iON Digital Zone iDZ Hebbal (Center A)
1040,114,iON Digital Zone iDZ Hebbal (Center B)
1041,115,iON DIGITAL Zone iDZ University Camp Area
1042,115,Sipna College of Engineering and Technology
1043,115,iON DIGITAL ZONE iDZ Cityland
1044,116,Chatrapati Shahu Maharaj Shikshan Sansthas College of Engineering
1045,116,International Center Of Excellence in Engineering and Management
1046,116,iON Digital Zone Chikalthana (Centre A)
1047,116,iON Digital Zone Chikalthana (Centre B)
1048,116,iON Digital Zone Chikalthana (Centre C)
1049,117,iON Digital Zone iDZ Shiye
1050,117,iON Digital Zone iDZ Tarabai Park
1051,118,iON Digital Zone IDZ Powai (Centre A)
1052,118,iON Digital Zone IDZ Powai (Centre B)
1053,118,iON Digital Zone IDZ Powai (Centre C)
1054,118,iON Digital Zone IDZ Powai (Centre D)
1055,118,Indian Institute Of Technology Bombay
1056,118,Thakur College Of Engineering And Technology
1057,119,iON DIGITAL ZONE iDZ 2 WADI MIDC (Centre A)
1058,119,iON DIGITAL ZONE iDZ 2 WADI MIDC (Centre B)
1059,119,iON Digital Zone iDZ 3 Wadi MIDC Techgressor Soft Solutions Pvt. Ltd. Nagpur
1060,119,iON DIGITAL Zone iDZ Beltarodi (Centre A)
1061,119,iON DIGITAL Zone iDZ Beltarodi (Centre B)
1062,119,G H Raisoni School Buisness Management (Centre A)
1063,119,G H Raisoni School Buisness Management (Centre B)
1064,119,St Vincent Pallotti College of Enginnering and Technology
1065,119,iON DIGITAL Zone iDZ 1 Wadi MIDC
1066,119,J D COLLEGE OF ENGINEERING
1067,119,K.D.K. COLLEGE OF ENGINEERING
1068,119,Jhulelal Institute of Technology
1069,120,iON DIGITAL Zone iDZ Vishnupuri
1070,120,Mahatma Gandhi Missions College of Engineering Nanded
1071,121,METs Institute of Technology-Polytechnic
1072,121,Jawahar Institute of Technology Nashik
1073,121,Sandip Foundation
1074,121,iON Digital Zone iDZ Wadala (Centre A)
1075,121,iON Digital Zone iDZ Wadala (Centre B)
1076,122,iON Digital Zone iDZ Turbhe (Centre A)
1077,122,iON Digital Zone iDZ Turbhe (Centre B)
1078,122,Pillais Institute of Information Technology Engineering Media Studies and Research
1079,123,iON Digital Zone iDZ Narhe (Centre A)
1080,123,iON Digital Zone iDZ Narhe (Centre B)
1081,123,iON Digital Zone iDZ Ramtekdi 2 (Centre A)
1082,123,iON Digital Zone iDZ Ramtekdi 2 (Centre B)
1083,123,iON Digital Zone iDZ Ramtekdi 3 (Centre A)
1084,123,iON Digital Zone iDZ Ramtekdi 3 (Centre B)
1085,123,iON Digital Zone iDZ Ramtekdi 1 (Centre A)
1086,123,iON Digital Zone iDZ Ramtekdi 1 (Centre B)
1087,123,GH Raisoni Institute of Engineering and Technology
1088,123,ZEALs Dnyanganga College of Engineering and Research
1089,123,Indian Institute For Aeronautical Engineering & Information Technology
1090,124,Career Heights
1091,124,MBC PARK
1092,125,Vidyavardhini College of Engineering and Technology
1093,126,iON Digital Zone iDZ Airport Road
1094,127,iON Digital Zone iDZ Machenahalli
1095,128,iON Digital Zone iDZ Milk Diary Road
2001,201,Inspiration Online Test Centre
2002,201,S L Computers Online Testing Centre
2003,201,Shivam Online Education and Caliber Testing Lab PVT LTD
2004,202,Aakash Online Testing Center
2005,202,Fringe Institute of Advanced Studies
2006,202,iON Digital Zone iDZ 1 GT Karnal Road
2007,202,iON Digital Zone iDZ 2 GT Karnal Road
2008,202,Noble Exam Centre
2009,202,Ojas Institute Of Management
2010,202,Vinayak Global Academy
2011,203,iON Digital Zone iDZ 1 Mathura Road
2012,203,iON Digital Zone iDZ 2 Mathura Road
2013,203,RSM Finserv Ltd
2014,204,Abhinav Public School Pitampura
2015,204,Aztech Online Test Centre
2016,204,CBSM Online Test Center Dwarka
2017,204,HD Online Work Station
2018,204,iON Digital Zone iDZ1 Mundka
2019,204,iON Digital Zone iDZ2 Mundka
2020,204,S2A CONSULTANCY SERVICES PVT. LTD.
2021,204,Shivaay College of Advance Studies
2022,204,Star Computer Lab
2023,204,Star Wave Digital Solutions
2024,204,Vamsi Digital Zone
2025,205,Apex Online Solution
2026,205,Confinet It Solutions Pvt. Ltd.
2027,205,iON Digital Zone iDZ Faridabad
2028,206,iON Digital Zone iDZ Greater Noida
2029,207,B.M. Group Of Institutions
2030,207,DPG Institute Of Technology & Management
2031,207,Gurugram Institute of techno world
2032,207,iON Digital Zone iDZ Sector 34
2033,207,On Target Soultions
2034,207,St Andrews Institute of Technology And Management
2035,207,World Institute of Technology
2036,208,iON Digital Zone iDZ1 Sec 62 (CENTER-A)
2037,208,iON Digital Zone iDZ1 Sec 62 (CENTER-B)
2038,208,iON Digital Zone iDZ1 Sec 62 (CENTER-C)
2039,208,iON Digital Zone iDZ1 Sec 62 (CENTER-D)
2040,208,iON Digital Zone iDZ2 Sec 62 (CENTER-A)
2041,208,iON Digital Zone iDZ2 Sec 62 (CENTER-B)
2042,209,iON Digital Zone iDZ Kaluchak
2043,210,iON Digital Zone iDZ Gegal Industrial Area
2044,211,Albert Public Sr. Sec. School English Medium
2045,211,Children's Academy Convent School
2046,211,Institute of Engineering and Technology
2047,211,Modern Institute of Technology and Research Centre (CENTER-A)
2048,211,Modern Institute of Technology and Research Centre (CENTER-B)
2049,212,Gyanoday Private ITI
2050,212,iON Digital Zone iDZ Naino Ka Bas
2051,212,Keen College Bikaner
2052,212,Marudhar Engineering College
2053,213,Alankar Mahila P.G. Mahavidyalaya
2054,213,ANAND INTERNATIONAL COLLEGE OF ENGINEERING (CENTER-A)
2055,213,ANAND INTERNATIONAL COLLEGE OF ENGINEERING (CENTER-B)
2056,213,ANAND INTERNATIONAL COLLEGE OF ENGINEERING (CENTER-C)
2057,213,ANAND INTERNATIONAL COLLEGE OF ENGINEERING (CENTER-D)
2058,213,Apex College for Girls
2059,213,Apex Institute of Engineering and Technology
2060,213,Apex Institute of Management & Science
2061,213,Arya College of Engineering and Information Technology (CENTER-A)
2062,213,Arya College of Engineering and Information Technology (CENTER-B)
2063,213,Arya College of Engineering and Information Technology (CENTER-C)
2064,213,Arya College of Industrial Training & Vocational Courses Private Limited (CENTER-A)
2065,213,Arya College of Industrial Training & Vocational Courses Private Limited (CENTER-B)
2066,213,Arya Institute of Engineering and Technology (CENTER-A)
2067,213,Arya Institute of Engineering and Technology (CENTER-B)
2068,213,Arya Institute of Engineering Technology & Management
2069,213,Global Institue Of Technology (CENTER-A)
2070,213,Global Institue Of Technology (CENTER-B)
2071,213,Global Institue Of Technology (CENTER-C)
2072,213,Jaipur Engineering College (CENTER-A)
2073,213,Jaipur Engineering College (CENTER-B)
2074,213,Shankara Group Of Institutions
2075,213,Shankara Institute of Technology
2076,213,Sri Balaji College Of Engineering And Technology (CENTER-A)
2077,213,Sri Balaji College Of Engineering And Technology (CENTER-B)
2078,213,Swami Keshvanand Institute Of Technology Management and Gramothan
