CourseCode,Course
4101,Aerospace Engineering (4 Years Bachelor of Technology)
4102,Agricultural and Food Engineering (4 Years Bachelor of Technology)
4103,Biological Sciences and Bioengineering (4 Years Bachelor of Technology)
4104,Bio Technology (4 Years Bachelor of Technology)
4105,Biotechnology and Biochemical Engineering (4 Years Bachelor of Technology)
4106,Ceramic Engineering (4 Years Bachelor of Technology)
4107,Chemical Engineering (4 Years Bachelor of Technology)
4108,Chemical Science and Technology (4 Years Bachelor of Technology)
4109,Civil Engineering (4 Years Bachelor of Technology)
4110,Computer Science and Engineering (4 Years Bachelor of Technology)
4111,Electrical Engineering (4 Years Bachelor of Technology)
4112,Electrical Engineering (Power and Automation) (4 Years Bachelor of Technology)
4113,Electronics Engineering (4 Years Bachelor of Technology)
4114,Electronics and Communication Engineering (4 Years Bachelor of Technology)
4115,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology)
4116,Electronics and Electrical Engineering (4 Years Bachelor of Technology)
4117,Engineering Physics (4 Years Bachelor of Technology)
4118,Engineering Science (4 Years Bachelor of Technology)
4119,Environmental Engineering (4 Years Bachelor of Technology)
4121,Instrumentation Engineering (4 Years Bachelor of Technology)
4122,Manufacturing Science and Engineering (4 Years Bachelor of Technology)
4123,Materials Science and Engineering (4 Years Bachelor of Technology)
4124,Mathematics and Computing (4 Years Bachelor of Technology)
4125,Mechanical Engineering (4 Years Bachelor of Technology)
4126,Metallurgical Engineering (4 Years Bachelor of Technology)
4127,Metallurgical and Materials Engineering (4 Years Bachelor of Technology)
4128,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology)
4129,Mineral Engineering (4 Years Bachelor of Technology)
4130,Mining Engineering (4 Years Bachelor of Technology)
4131,Mining Machinery Engineering (4 Years Bachelor of Technology)
4132,Naval Architecture and Ocean Engineering (4 Years Bachelor of Technology)
4133,Ocean Engineering and Naval Architecture (4 Years Bachelor of Technology)
4134,Petroleum Engineering (4 Years Bachelor of Technology)
4135,Polymer Science and Engineering (4 Years Bachelor of Technology)
4136,Production and Industrial Engineering (4 Years Bachelor of Technology)
4139,Textile Technology (4 Years Bachelor of Technology)
4143,Bio Engineering (4 Years Bachelor of Technology)
4144,Electrical and Electronics Engineering (4 Years Bachelor of Technology)
4161,Materials Science and Metallurgical Engineering (4 Years Bachelor of Technology)
4170,Industrial and Systems Engineering (4 Years Bachelor of Technology)
4173,Pharmaceutical Engineering & Technology (4 Years Bachelor of Technology)
4185,Artificial Intelligence (4 Years Bachelor of Technology)
